system:index,GEOID,Year,sq_miles,.geo
0000000000000000005d,270530118005,2021,"{groups=[{classification=0, sum=0.11918907000000083}, {classification=1, sum=0.06115823999999987}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,270530276023,2021,{groups=[]},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,270531101002,2021,"{groups=[{classification=0, sum=0.07088796000000001}, {classification=1, sum=0.02467178999999998}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,270530209022,2021,"{groups=[{classification=0, sum=0.17061759000000168}, {classification=1, sum=0.19772181000000214}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,270530229022,2021,"{groups=[{classification=0, sum=0.10181457000000053}, {classification=1, sum=0.06741305999999996}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,270530120016,2021,"{groups=[{classification=0, sum=0.1483782300000013}, {classification=1, sum=0.07540533000000009}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,270530240042,2021,"{groups=[{classification=0, sum=0.08444007000000024}, {classification=1, sum=0.02536676999999998}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,270530258051,2021,"{groups=[{classification=0, sum=0.4159455300000058}, {classification=1, sum=0.7418911500000113}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,270530268072,2021,"{groups=[{classification=0, sum=0.10077210000000052}, {classification=1, sum=0.0997296300000005}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,270530221021,2021,"{groups=[{classification=0, sum=0.2022391800000022}, {classification=1, sum=0.10459449000000058}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,270531108003,2021,"{groups=[{classification=0, sum=0.08583003000000027}, {classification=1, sum=0.04447871999999992}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
