system:index,CTU_NAME,Year,sq_miles,.geo
0000000000000000004e,West St. Paul,2021,"{groups=[{classification=0, sum=2.7135494099995885}, {classification=1, sum=2.1704225399999264}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,Stillwater Twp.,2021,"{groups=[{classification=0, sum=1.4924695500000238}, {classification=1, sum=4.986134009999435}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,Douglas Twp.,2021,"{groups=[{classification=0, sum=1.8128553300000292}, {classification=1, sum=3.0450548699993822}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,Edina,2021,"{groups=[{classification=0, sum=8.149682970001127}, {classification=1, sum=7.092618390000816}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,Mounds View,2021,"{groups=[{classification=0, sum=2.075905259999985}, {classification=1, sum=1.985557860000032}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,Miesville,2021,"{groups=[{classification=0, sum=0.10111959000000052}, {classification=1, sum=0.06984549}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,Waconia,2021,"{groups=[{classification=0, sum=3.5767145699990515}, {classification=1, sum=0.8315435700000128}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,Willernie,2021,"{groups=[{classification=0, sum=0.05594588999999989}, {classification=1, sum=0.06671807999999994}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,Mendota,2021,"{groups=[{classification=0, sum=0.07888023000000015}, {classification=1, sum=0.18521217000000192}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,Gem Lake,2021,"{groups=[{classification=0, sum=0.3294205200000043}, {classification=1, sum=0.6324318000000094}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,Little Canada,2021,"{groups=[{classification=0, sum=2.139148439999946}, {classification=1, sum=1.7506546200000281}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,Belle Plaine Twp.,2021,"{groups=[{classification=0, sum=2.8650550499994942}, {classification=1, sum=3.0704216399993665}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,New Market Twp.,2021,"{groups=[{classification=0, sum=4.098644549998853}, {classification=1, sum=6.27427944000028}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,Blaine,2021,"{groups=[{classification=0, sum=16.730601029984822}, {classification=1, sum=12.440489489992974}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,Lakeland,2021,"{groups=[{classification=0, sum=0.6901151400000104}, {classification=1, sum=1.0087634700000156}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,Greenwood,2021,"{groups=[{classification=0, sum=0.11814660000000081}, {classification=1, sum=0.22065615000000252}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,Andover,2021,"{groups=[{classification=0, sum=10.146360509997333}, {classification=1, sum=14.812803719988466}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,Eagan,2021,"{groups=[{classification=0, sum=15.847976429986499}, {classification=1, sum=14.34230225998936}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
